,sentiment,prediction
25608,1,1
44097,1,1
33423,0,0
147,1,1
20340,0,0
32811,0,0
46575,0,0
5865,1,1
22573,0,0
32185,1,1
40945,1,1
41392,1,1
48709,1,1
16341,0,0
8481,1,1
48163,0,0
8578,1,1
27129,0,0
35885,1,0
24138,1,1
35325,1,1
31002,1,0
3862,0,0
12622,1,1
7205,1,1
16890,1,1
29244,0,0
14299,1,1
41982,1,1
44496,0,1
44856,0,0
23994,1,1
20398,0,0
48161,0,0
16177,0,0
2432,0,1
1570,1,1
41342,0,0
24043,1,1
34713,0,0
20926,1,1
17702,0,0
28318,0,0
22892,1,1
48239,0,1
23978,0,0
8404,0,0
34861,0,0
28545,0,0
12088,0,0
44320,0,0
28705,0,0
7308,1,1
48184,0,0
43187,0,1
879,0,0
2116,1,1
27092,0,0
44567,0,0
31871,0,0
18844,0,0
6926,1,1
26061,1,1
25331,1,0
14836,0,0
26546,0,0
48015,1,1
14049,1,1
12514,0,0
48807,1,0
46131,0,0
43254,0,1
21597,1,1
26358,0,0
1122,1,1
15731,1,1
42484,1,0
29591,1,1
2741,1,1
46269,1,1
32572,0,0
24652,1,1
35731,1,1
1590,1,1
199,0,0
18817,1,1
28612,0,0
44655,0,0
17541,0,0
46728,1,0
34220,1,1
25797,1,1
43705,1,1
16759,1,1
32432,0,0
18303,0,0
40712,0,0
15922,1,1
43095,1,1
672,0,0
46457,1,0
38538,1,1
14158,0,1
31652,1,1
18278,1,1
40871,1,1
34218,1,1
20919,1,1
29387,0,0
45944,0,0
20438,1,1
16930,0,0
23298,1,1
47172,0,0
2360,1,1
14874,0,0
27927,1,0
7762,1,1
5553,0,0
17972,1,1
28745,0,0
13970,1,1
29901,0,0
9987,0,0
9026,1,1
28648,0,0
24488,1,1
42371,1,1
30367,1,1
35810,1,1
6354,1,1
24857,1,1
30187,1,1
5343,0,0
15526,1,1
26247,0,0
46053,0,0
39007,0,0
44266,1,1
5567,0,1
19326,0,0
32710,1,1
45050,0,0
48691,0,0
262,0,0
12909,0,1
32237,1,1
26281,0,0
46440,0,0
19788,0,0
26668,1,1
7212,0,0
44563,1,1
25609,0,0
44483,1,1
19397,0,0
13658,0,0
26075,0,0
1741,0,0
43595,1,1
37811,0,0
37256,1,1
3016,1,1
49003,1,1
29890,1,1
35080,0,0
25492,0,0
16823,1,1
38041,1,1
12728,0,0
5216,1,1
4016,1,0
23462,1,1
49303,1,1
38873,0,0
7920,0,0
29580,1,1
9405,0,0
14865,0,0
24901,1,1
22965,0,0
35742,1,1
17351,1,1
22323,1,1
3377,1,1
9803,0,0
7525,0,0
2791,0,0
48953,1,1
24120,0,0
34125,0,0
42483,1,1
26830,1,1
49238,1,1
28590,1,1
6748,0,0
49115,1,1
33773,1,1
33028,1,1
30395,1,0
5739,1,1
38368,0,0
15397,1,1
42536,1,1
34729,0,0
4504,0,0
14018,0,0
34778,0,0
42934,1,1
